Id,Recipe Page,Title,PDF,Vimeo Link,Thumbnail,,
2755,https://savourschool.com.au/onlineclasses/lothelo/,L'othelo,https://savourschool.com.au/online-clasess-pdf/?id=2755,https://player.vimeo.com/video/120759059?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/08/Lotheo.png,,
2756,https://savourschool.com.au/onlineclasses/frank-haasnoots-swirl-garnish/,Frank Haasnoot's 'Swirl' Garnish,https://savourschool.com.au/online-clasess-pdf/?id=2756,https://player.vimeo.com/video/124259042?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Frank-Haasnoot-Swirl-garnish.png,,
2757,https://savourschool.com.au/onlineclasses/frank-haasnoots-noir-garnish/,Frank Haasnoot's 'Noir' Garnish,https://savourschool.com.au/online-clasess-pdf/?id=2757,https://player.vimeo.com/video/121956797?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Frank-haasnoot-Noir-garnish.png,,
2758,https://savourschool.com.au/onlineclasses/meringue-using-trehalose/,Meringue Using Trehalose,https://savourschool.com.au/online-clasess-pdf/?id=2758,https://player.vimeo.com/video/347229790?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2020/01/Meringue-using-Tarlouse.png,,
2759,https://savourschool.com.au/onlineclasses/bora-bora/,Bora Bora,https://savourschool.com.au/online-clasess-pdf/?id=2759,https://player.vimeo.com/video/196810272?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/08/Bora-Bora.png,,
2760,https://savourschool.com.au/onlineclasses/strawberry-meringue-roulade/,Strawberry Meringue Roulade,https://savourschool.com.au/online-clasess-pdf/?id=2760,https://player.vimeo.com/video/120114487?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/08/Strawberry-Meringue-roulard.png,,
2761,https://savourschool.com.au/onlineclasses/chocolate-flower/,Chocolate Flower,https://savourschool.com.au/online-clasess-pdf/?id=2761,https://player.vimeo.com/video/115151705?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/08/Chocolate-Flower-Yellow.png,,
2762,https://savourschool.com.au/onlineclasses/dasher-entremet/,Dasher Entremet,https://savourschool.com.au/online-clasess-pdf/?id=2762,https://player.vimeo.com/video/112466211?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/08/Dasher-Entremet.png,,
2763,https://savourschool.com.au/onlineclasses/chocolate-twigs-2/,Chocolate Twigs,https://savourschool.com.au/online-clasess-pdf/?id=2763,https://player.vimeo.com/video/133938520?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/11/Chocolate-Twigs-.png,,
2764,https://savourschool.com.au/onlineclasses/bombi-chocolate-bar/,Bombi Chocolate Bar,https://savourschool.com.au/online-clasess-pdf/?id=2764,https://player.vimeo.com/video/126578897?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Bombi-Bar.png,,
